crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,1,Buildings,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,10,Mangrove,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,11,Water courses,"rivers, canals, drains",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,12,Water bodies,"lakes, reservoirs, swimming pools",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,13,Marine,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,2,Impervious surfaces,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,3,Non-vegetated pervious surfaces,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,4,Vegetation with limited human management (w Tree Canopy),NA,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,5,Vegetation with limited human management (w/o Tree Canopy),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,6,Vegetation with structure dominated by human management (w Tree Canopy),NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,7,Vegetation with structure dominated by human management (w/o Tree Canopy),NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,8,Freshwater swamp forest,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
26/03/2026,Alli Lynn,2.1,412,ncs_singapore_eco_2019,figure1,raster code,9,Freshwater marsh,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
